(8*Sqrt[21543]*Cos[(100*Pi)/1189])/1189,(8*Sqrt[21543]*Sin[(100*Pi)/1189])/1189,187/1189
(Sqrt[776917]*Cos[(101*Pi)/1189])/1189,(Sqrt[776917]*Sin[(101*Pi)/1189])/1189,-798/1189
(12*Sqrt[7359]*Cos[(102*Pi)/1189])/1189,(12*Sqrt[7359]*Sin[(102*Pi)/1189])/1189,595/1189
(Sqrt[1261621]*Cos[(103*Pi)/1189])/1189,(Sqrt[1261621]*Sin[(103*Pi)/1189])/1189,-390/1189
(4*Sqrt[25482]*Cos[(104*Pi)/1189])/1189,(4*Sqrt[25482]*Sin[(104*Pi)/1189])/1189,1003/1189
(Sqrt[1413397]*Cos[(105*Pi)/1189])/1189,(Sqrt[1413397]*Sin[(105*Pi)/1189])/1189,18/1189
(14*Sqrt[2442]*Cos[(106*Pi)/1189])/1189,(14*Sqrt[2442]*Sin[(106*Pi)/1189])/1189,-967/1189
(Sqrt[1232245]*Cos[(107*Pi)/1189])/1189,(Sqrt[1232245]*Sin[(107*Pi)/1189])/1189,426/1189
(6*Sqrt[30590]*Cos[(108*Pi)/1189])/1189,(6*Sqrt[30590]*Sin[(108*Pi)/1189])/1189,-559/1189
(17*Sqrt[2485]*Cos[(109*Pi)/1189])/1189,(17*Sqrt[2485]*Sin[(109*Pi)/1189])/1189,834/1189
(2*Sqrt[347730]*Cos[(110*Pi)/1189])/1189,(2*Sqrt[347730]*Sin[(110*Pi)/1189])/1189,-151/1189
(5*Sqrt[4929]*Cos[(111*Pi)/1189])/1189,(5*Sqrt[4929]*Sin[(111*Pi)/1189])/1189,-1136/1189
(2*Sqrt[336918]*Cos[(112*Pi)/1189])/1189,(2*Sqrt[336918]*Sin[(112*Pi)/1189])/1189,257/1189
(3*Sqrt[98193]*Cos[(113*Pi)/1189])/1189,(3*Sqrt[98193]*Sin[(113*Pi)/1189])/1189,-728/1189
(6*Sqrt[26986]*Cos[(114*Pi)/1189])/1189,(6*Sqrt[26986]*Sin[(114*Pi)/1189])/1189,665/1189
(Sqrt[1311321]*Cos[(115*Pi)/1189])/1189,(Sqrt[1311321]*Sin[(115*Pi)/1189])/1189,-320/1189
(2*Sqrt[78]*Cos[(4*Pi)/41])/41,(2*Sqrt[78]*Sin[(4*Pi)/41])/41,37/41
(Sqrt[1405977]*Cos[(117*Pi)/1189])/1189,(Sqrt[1405977]*Sin[(117*Pi)/1189])/1189,88/1189
(2*Sqrt[152278]*Cos[(118*Pi)/1189])/1189,(2*Sqrt[152278]*Sin[(118*Pi)/1189])/1189,-897/1189
(3*Sqrt[129745]*Cos[(119*Pi)/1189])/1189,(3*Sqrt[129745]*Sin[(119*Pi)/1189])/1189,496/1189
(10*Sqrt[11746]*Cos[(120*Pi)/1189])/1189,(10*Sqrt[11746]*Sin[(120*Pi)/1189])/1189,-489/1189
(Sqrt[596505]*Cos[(121*Pi)/1189])/1189,(Sqrt[596505]*Sin[(121*Pi)/1189])/1189,904/1189
(2*Sqrt[351790]*Cos[(122*Pi)/1189])/1189,(2*Sqrt[351790]*Sin[(122*Pi)/1189])/1189,-81/1189
(Sqrt[165]*Cos[(3*Pi)/29])/29,(Sqrt[165]*Sin[(3*Pi)/29])/29,-26/29
(2*Sqrt[326698]*Cos[(124*Pi)/1189])/1189,(2*Sqrt[326698]*Sin[(124*Pi)/1189])/1189,327/1189
(3*Sqrt[108973]*Cos[(125*Pi)/1189])/1189,(3*Sqrt[108973]*Sin[(125*Pi)/1189])/1189,-658/1189
(2*Sqrt[218374]*Cos[(126*Pi)/1189])/1189,(2*Sqrt[218374]*Sin[(126*Pi)/1189])/1189,735/1189
(Sqrt[1351221]*Cos[(127*Pi)/1189])/1189,(Sqrt[1351221]*Sin[(127*Pi)/1189])/1189,-250/1189
(2*Sqrt[26818]*Cos[(128*Pi)/1189])/1189,(2*Sqrt[26818]*Sin[(128*Pi)/1189])/1189,1143/1189
(Sqrt[1388757]*Cos[(129*Pi)/1189])/1189,(Sqrt[1388757]*Sin[(129*Pi)/1189])/1189,158/1189
(24*Sqrt[1267]*Cos[(130*Pi)/1189])/1189,(24*Sqrt[1267]*Sin[(130*Pi)/1189])/1189,-827/1189
(3*Sqrt[121485]*Cos[(131*Pi)/1189])/1189,(3*Sqrt[121485]*Sin[(131*Pi)/1189])/1189,566/1189
(4*Sqrt[77385]*Cos[(132*Pi)/1189])/1189,(4*Sqrt[77385]*Sin[(132*Pi)/1189])/1189,-419/1189
(Sqrt[465045]*Cos[(133*Pi)/1189])/1189,(Sqrt[465045]*Sin[(133*Pi)/1189])/1189,974/1189
(20*Sqrt[3534]*Cos[(134*Pi)/1189])/1189,(20*Sqrt[3534]*Sin[(134*Pi)/1189])/1189,-11/1189
(Sqrt[421705]*Cos[(135*Pi)/1189])/1189,(Sqrt[421705]*Sin[(135*Pi)/1189])/1189,-996/1189
(12*Sqrt[8723]*Cos[(136*Pi)/1189])/1189,(12*Sqrt[8723]*Sin[(136*Pi)/1189])/1189,397/1189
(Sqrt[1067977]*Cos[(137*Pi)/1189])/1189,(Sqrt[1067977]*Sin[(137*Pi)/1189])/1189,-588/1189
(16*Sqrt[2991]*Cos[(138*Pi)/1189])/1189,(16*Sqrt[2991]*Sin[(138*Pi)/1189])/1189,805/1189
(37*Sqrt[1009]*Cos[(139*Pi)/1189])/1189,(37*Sqrt[1009]*Sin[(139*Pi)/1189])/1189,-180/1189
(4*Sqrt[3531]*Cos[(140*Pi)/1189])/1189,(4*Sqrt[3531]*Sin[(140*Pi)/1189])/1189,-1165/1189
(31*Sqrt[1417]*Cos[(141*Pi)/1189])/1189,(31*Sqrt[1417]*Sin[(141*Pi)/1189])/1189,228/1189
(12*Sqrt[5838]*Cos[(142*Pi)/1189])/1189,(12*Sqrt[5838]*Sin[(142*Pi)/1189])/1189,-757/1189
(5*Sqrt[40369]*Cos[(143*Pi)/1189])/1189,(5*Sqrt[40369]*Sin[(143*Pi)/1189])/1189,636/1189
(4*Sqrt[80745]*Cos[(144*Pi)/1189])/1189,(4*Sqrt[80745]*Sin[(144*Pi)/1189])/1189,-349/1189
(Sqrt[385]*Cos[(5*Pi)/41])/41,(Sqrt[385]*Sin[(5*Pi)/41])/41,36/41
(8*Sqrt[22035]*Cos[(146*Pi)/1189])/1189,(8*Sqrt[22035]*Sin[(146*Pi)/1189])/1189,59/1189
(3*Sqrt[61805]*Cos[(147*Pi)/1189])/1189,(3*Sqrt[61805]*Sin[(147*Pi)/1189])/1189,-926/1189
(228*Sqrt[23]*Cos[(148*Pi)/1189])/1189,(228*Sqrt[23]*Sin[(148*Pi)/1189])/1189,467/1189
(Sqrt[1145397]*Cos[(149*Pi)/1189])/1189,(Sqrt[1145397]*Sin[(149*Pi)/1189])/1189,-518/1189
(4*Sqrt[40506]*Cos[(150*Pi)/1189])/1189,(4*Sqrt[40506]*Sin[(150*Pi)/1189])/1189,875/1189
(Sqrt[1401621]*Cos[(151*Pi)/1189])/1189,(Sqrt[1401621]*Sin[(151*Pi)/1189])/1189,-110/1189
(2*Sqrt[53674]*Cos[(152*Pi)/1189])/1189,(2*Sqrt[53674]*Sin[(152*Pi)/1189])/1189,-1095/1189
(9*Sqrt[16357]*Cos[(153*Pi)/1189])/1189,(9*Sqrt[16357]*Sin[(153*Pi)/1189])/1189,298/1189
(2*Sqrt[235438]*Cos[(154*Pi)/1189])/1189,(2*Sqrt[235438]*Sin[(154*Pi)/1189])/1189,-687/1189
(Sqrt[915285]*Cos[(155*Pi)/1189])/1189,(Sqrt[915285]*Sin[(155*Pi)/1189])/1189,706/1189
(2*Sqrt[333970]*Cos[(156*Pi)/1189])/1189,(2*Sqrt[333970]*Sin[(156*Pi)/1189])/1189,-279/1189
(35*Sqrt[141]*Cos[(157*Pi)/1189])/1189,(35*Sqrt[141]*Sin[(157*Pi)/1189])/1189,1114/1189
(2*Sqrt[349270]*Cos[(158*Pi)/1189])/1189,(2*Sqrt[349270]*Sin[(158*Pi)/1189])/1189,129/1189
(3*Sqrt[75665]*Cos[(159*Pi)/1189])/1189,(3*Sqrt[75665]*Sin[(159*Pi)/1189])/1189,-856/1189
(2*Sqrt[281338]*Cos[(160*Pi)/1189])/1189,(2*Sqrt[281338]*Sin[(160*Pi)/1189])/1189,537/1189
(Sqrt[1213017]*Cos[(161*Pi)/1189])/1189,(Sqrt[1213017]*Sin[(161*Pi)/1189])/1189,-448/1189
(2*Sqrt[130174]*Cos[(162*Pi)/1189])/1189,(2*Sqrt[130174]*Sin[(162*Pi)/1189])/1189,945/1189
(Sqrt[1412121]*Cos[(163*Pi)/1189])/1189,(Sqrt[1412121]*Sin[(163*Pi)/1189])/1189,-40/1189
(6*Sqrt[6]*Cos[(4*Pi)/29])/29,(6*Sqrt[6]*Sin[(4*Pi)/29])/29,-25/29
(3*Sqrt[142033]*Cos[(165*Pi)/1189])/1189,(3*Sqrt[142033]*Sin[(165*Pi)/1189])/1189,368/1189
(2*Sqrt[258258]*Cos[(166*Pi)/1189])/1189,(2*Sqrt[258258]*Sin[(166*Pi)/1189])/1189,-617/1189
(Sqrt[811545]*Cos[(167*Pi)/1189])/1189,(Sqrt[811545]*Sin[(167*Pi)/1189])/1189,776/1189
(14*Sqrt[6990]*Cos[(168*Pi)/1189])/1189,(14*Sqrt[6990]*Sin[(168*Pi)/1189])/1189,-209/1189
(Sqrt[11865]*Cos[(169*Pi)/1189])/1189,(Sqrt[11865]*Sin[(169*Pi)/1189])/1189,1184/1189
(6*Sqrt[38170]*Cos[(170*Pi)/1189])/1189,(6*Sqrt[38170]*Sin[(170*Pi)/1189])/1189,199/1189
(5*Sqrt[31837]*Cos[(171*Pi)/1189])/1189,(5*Sqrt[31837]*Sin[(171*Pi)/1189])/1189,-786/1189
(2*Sqrt[261318]*Cos[(172*Pi)/1189])/1189,(2*Sqrt[261318]*Sin[(172*Pi)/1189])/1189,607/1189
(Sqrt[1270837]*Cos[(173*Pi)/1189])/1189,(Sqrt[1270837]*Sin[(173*Pi)/1189])/1189,-378/1189
(2*Sqrt[114]*Cos[(6*Pi)/41])/41,(2*Sqrt[114]*Sin[(6*Pi)/41])/41,35/41
(Sqrt[1412821]*Cos[(175*Pi)/1189])/1189,(Sqrt[1412821]*Sin[(175*Pi)/1189])/1189,30/1189
(24*Sqrt[871]*Cos[(176*Pi)/1189])/1189,(24*Sqrt[871]*Sin[(176*Pi)/1189])/1189,-955/1189
(Sqrt[1221877]*Cos[(177*Pi)/1189])/1189,(Sqrt[1221877]*Sin[(177*Pi)/1189])/1189,438/1189
(4*Sqrt[69657]*Cos[(178*Pi)/1189])/1189,(4*Sqrt[69657]*Sin[(178*Pi)/1189])/1189,-547/1189
(7*Sqrt[14245]*Cos[(179*Pi)/1189])/1189,(7*Sqrt[14245]*Sin[(179*Pi)/1189])/1189,846/1189
(20*Sqrt[3486]*Cos[(180*Pi)/1189])/1189,(20*Sqrt[3486]*Sin[(180*Pi)/1189])/1189,-139/1189
(3*Sqrt[16705]*Cos[(181*Pi)/1189])/1189,(3*Sqrt[16705]*Sin[(181*Pi)/1189])/1189,-1124/1189
(108*Sqrt[115]*Cos[(182*Pi)/1189])/1189,(108*Sqrt[115]*Sin[(182*Pi)/1189])/1189,269/1189
(Sqrt[901065]*Cos[(183*Pi)/1189])/1189,(Sqrt[901065]*Sin[(183*Pi)/1189])/1189,-716/1189
(32*Sqrt[933]*Cos[(184*Pi)/1189])/1189,(32*Sqrt[933]*Sin[(184*Pi)/1189])/1189,677/1189
(Sqrt[1318857]*Cos[(185*Pi)/1189])/1189,(Sqrt[1318857]*Sin[(185*Pi)/1189])/1189,-308/1189
(4*Sqrt[14781]*Cos[(186*Pi)/1189])/1189,(4*Sqrt[14781]*Sin[(186*Pi)/1189])/1189,1085/1189
(33*Sqrt[1289]*Cos[(187*Pi)/1189])/1189,(33*Sqrt[1289]*Sin[(187*Pi)/1189])/1189,100/1189
(4*Sqrt[39406]*Cos[(188*Pi)/1189])/1189,(4*Sqrt[39406]*Sin[(188*Pi)/1189])/1189,-885/1189
(Sqrt[1155657]*Cos[(189*Pi)/1189])/1189,(Sqrt[1155657]*Sin[(189*Pi)/1189])/1189,508/1189
(28*Sqrt[1513]*Cos[(190*Pi)/1189])/1189,(28*Sqrt[1513]*Sin[(190*Pi)/1189])/1189,-477/1189
(Sqrt[574665]*Cos[(191*Pi)/1189])/1189,(Sqrt[574665]*Sin[(191*Pi)/1189])/1189,916/1189
(8*Sqrt[22015]*Cos[(192*Pi)/1189])/1189,(8*Sqrt[22015]*Sin[(192*Pi)/1189])/1189,-69/1189
(3*Sqrt[33645]*Cos[(193*Pi)/1189])/1189,(3*Sqrt[33645]*Sin[(193*Pi)/1189])/1189,-1054/1189
(20*Sqrt[3247]*Cos[(194*Pi)/1189])/1189,(20*Sqrt[3247]*Sin[(194*Pi)/1189])/1189,339/1189
(Sqrt[996405]*Cos[(195*Pi)/1189])/1189,(Sqrt[996405]*Sin[(195*Pi)/1189])/1189,-646/1189
(44*Sqrt[442]*Cos[(196*Pi)/1189])/1189,(44*Sqrt[442]*Sin[(196*Pi)/1189])/1189,747/1189
(Sqrt[1357077]*Cos[(197*Pi)/1189])/1189,(Sqrt[1357077]*Sin[(197*Pi)/1189])/1189,-238/1189
(4*Sqrt[4981]*Cos[(198*Pi)/1189])/1189,(4*Sqrt[4981]*Sin[(198*Pi)/1189])/1189,1155/1189
(3*Sqrt[153869]*Cos[(199*Pi)/1189])/1189,(3*Sqrt[153869]*Sin[(199*Pi)/1189])/1189,170/1189
(2*Sqrt[187374]*Cos[(200*Pi)/1189])/1189,(2*Sqrt[187374]*Sin[(200*Pi)/1189])/1189,-815/1189
(Sqrt[1079637]*Cos[(201*Pi)/1189])/1189,(Sqrt[1079637]*Sin[(201*Pi)/1189])/1189,578/1189
(2*Sqrt[312018]*Cos[(202*Pi)/1189])/1189,(2*Sqrt[312018]*Sin[(202*Pi)/1189])/1189,-407/1189
(5*Sqrt[21]*Cos[(7*Pi)/41])/41,(5*Sqrt[21]*Sin[(7*Pi)/41])/41,34/41
(6*Sqrt[39270]*Cos[(204*Pi)/1189])/1189,(6*Sqrt[39270]*Sin[(204*Pi)/1189])/1189,1/1189
(Sqrt[265]*Cos[(5*Pi)/29])/29,(Sqrt[265]*Sin[(5*Pi)/29])/29,-24/29
